mood,speechiness,energy,valence,liveness,instrumentalness,acousticness,danceability
4,0.0298,0.183,0.13,0.106,0.404,0.914,0.569
4,0.0277,0.387,0.274,0.13,0.00756,0.239,0.762
4,0.0382,0.372,0.273,0.104,3.70E-06,0.882,0.577
4,0.0467,0.546,0.286,0.374,0.0986,0.68,0.225
4,0.0321,0.411,0.368,0.111,0.272,0.767,0.315
4,0.0305,0.366,0.466,0.124,9.37E-05,0.53,0.81
4,0.0372,0.469,0.33,0.106,1.74E-05,0.279,0.48
4,0.102,0.577,0.389,0.112,0.427,0.673,0.605
4,0.0287,0.458,0.17,0.118,0.000123,0.691,0.472
4,0.031,0.416,0.506,0.153,2.68E-05,0.538,0.667
4,0.0456,0.444,0.695,0.109,0.000151,0.471,0.672
4,0.0327,0.435,0.343,0.103,0.000308,0.575,0.668
4,0.0396,0.582,0.646,0.11,0.736,0.42,0.729
4,0.0407,0.316,0.395,0.112,0.0103,0.626,0.678
4,0.0289,0.397,0.181,0.124,0.000254,0.286,0.596
4,0.0352,0.195,0.381,0.11,0,0.873,0.461
4,0.0911,0.519,0.36,0.108,0.0151,0.3,0.58
4,0.0305,0.306,0.157,0.123,0.323,0.942,0.38
4,0.0277,0.434,0.208,0.0989,0.000552,0.757,0.545
4,0.0436,0.338,0.927,0.0635,0.0225,0.135,0.84
4,0.0441,0.152,0.294,0.0907,1.23E-05,0.93,0.493
4,0.0507,0.386,0.178,0.108,0.00176,0.411,0.847
4,0.0456,0.441,0.286,0.188,4.36E-05,0.874,0.447
4,0.0342,0.634,0.599,0.0998,0.147,0.0364,0.636
4,0.0438,0.221,0.702,0.0946,0,0.666,0.625
4,0.0319,0.206,0.13,0.385,0.453,0.94,0.543
4,0.04,0.243,0.239,0.111,0,0.815,0.636
4,0.0353,0.419,0.529,0.0967,0.329,0.777,0.538
4,0.0321,0.399,0.144,0.13,0.583,0.471,0.312
4,0.05,0.119,0.176,0.106,0.000348,0.962,0.323
4,0.0354,0.426,0.292,0.318,0,0.553,0.598
4,0.0337,0.376,0.309,0.118,0.00169,0.764,0.44
4,0.0311,0.298,0.462,0.365,9.17E-06,0.718,0.515
4,0.0344,0.199,0.179,0.107,0.00178,0.976,0.62
4,0.0628,0.707,0.206,0.161,0.000117,0.384,0.717
4,0.0353,0.353,0.269,0.0975,0.00942,0.616,0.416
4,0.0326,0.437,0.2,0.144,0.00335,0.786,0.586
4,0.132,0.602,0.573,0.0936,5.73E-06,0.705,0.471
4,0.0364,0.338,0.0958,0.116,0.000934,0.878,0.337
4,0.0385,0.6,0.254,0.172,4.53E-06,0.739,0.427
4,0.0269,0.585,0.523,0.129,0.0725,0.614,0.629
4,0.0269,0.482,0.335,0.078,0.00448,0.592,0.409
4,0.0583,0.566,0.424,0.0588,0.00153,0.373,0.454
4,0.0541,0.734,0.687,0.327,0.172,0.0777,0.732
4,0.0326,0.337,0.283,0.0869,0.117,0.955,0.367
4,0.0243,0.74,0.679,0.105,0.0146,0.242,0.677
4,0.0358,0.12,0.176,0.162,2.34E-05,0.899,0.363
4,0.0501,0.442,0.278,0.0883,0,0.694,0.639
4,0.0325,0.601,0.233,0.0813,0.000107,0.327,0.676
4,0.0597,0.674,0.729,0.12,9.82E-05,0.345,0.854
4,0.041,0.547,0.774,0.102,0.141,0.42,0.693
4,0.0347,0.323,0.472,0.118,1.93E-05,0.714,0.508
4,0.0335,0.57,0.273,0.0994,5.18E-05,0.506,0.743
4,0.0369,0.423,0.17,0.0873,0.00186,0.505,0.333
4,0.0275,0.373,0.196,0.118,0.181,0.895,0.259
4,0.0355,0.322,0.453,0.093,0.000534,0.613,0.389
4,0.059,0.662,0.406,0.138,0.000131,0.123,0.58
4,0.0393,0.728,0.246,0.0741,4.62E-05,0.339,0.608
4,0.0357,0.304,0.134,0.108,0.00146,0.793,0.577
4,0.0487,0.557,0.616,0.108,0,0.604,0.773
4,0.0327,0.387,0.772,0.0736,0.00633,0.179,0.745
4,0.0467,0.39,0.105,0.0775,4.39E-06,0.584,0.44
4,0.0356,0.169,0.355,0.116,0.00544,0.823,0.274
4,0.0579,0.464,0.0559,0.111,3.97E-05,0.138,0.685
