mood,speechiness,energy,valence,liveness,instrumentalness,acousticness,danceability
3,0.868,0.0385,0,0.185,0.729,0.049,0.648
2,0.389,0.00003,0.768,0.103,0.328,0.029,0.629
4,0.0275,0.373,0.196,0.118,0.181,0.895,0.259
3,0.592,0.00002,0.791,0.862,0.0814,0.11,0.037
4,0.626,0.466,0.496,0.117,0.352,0.0302,0.00001
3,0.275,0.886,0.138,0,0.779,0.69,0.0348
1,0.0734,0.746,0.652,0.894,0.107,0.00044,0.0177
3,0.328,0,0.279,0.742,0.593,0.0898,0.00018
3,0.276,0.00001,0.583,0.732,0.269,0.0457,0.00312
1,0.0865,0.83,0.6,0.941,0.311,0,0.154
2,0.489,0,0.907,0.0941,0.151,0.04,0.402
2,0.291,0,0.0689,0.196,0.538,0.0382,0.556
4,0.811,0.368,0.463,0.109,0.447,0.0302,0.0017
3,0.081,0.78,0.0622,0,0.666,0.776,0.128
1,0.921,0.655,0.138,0.539,0.69,0.0385,0.0001
2,0.456,0.0318,0.813,0.629,0.169,0.312,0
2,0.261,0.0524,0.911,0.395,0.166,0.331,0
1,0.529,0.911,0.1,0.703,0.772,0.0168,0.00057
1,0.104,0.518,0.815,0.877,0.0897,0,0.223
2,0.335,0,0.805,0.0977,0.268,0.0427,0.551
3,0.288,0.787,0.0185,0,0.406,0.642,0.17
2,0.21,0.0815,0.843,0.467,0.0913,0.359,0
2,0.238,0,0.292,0.101,0.451,0.0388,0.558
3,0.462,0,0.534,0.87,0.241,0.0425,0.00033
3,0.816,0,0.751,0.783,0.036,0.0859,0.00379
3,0.896,0,0.774,0.753,0.0371,0.0517,0.152
4,0.0337,0.376,0.309,0.118,0.00169,0.764,0.44
3,0.483,0.0565,0.00431,0.531,0.676,0.0199,0.764
1,0.847,0.345,0.042,0.855,0.89,0.234,0.00062
4,0.0729,0.461,0.214,0.104,0,0.549,0.603
1,0.357,0.521,0.582,0.408,0.0352,0.00011,0.401
3,0.119,0.611,0.223,0,0.417,0.854,0.0864
4,0.0644,0.828,0.492,0.128,0.789,0.0276,0.00428
4,0.648,0.6,0.535,0.162,0.269,0.107,0
2,0.31,0.0424,0.598,0.697,0.107,0.336,0.00528
3,0.61,0,0.743,0.766,0.509,0.0265,0.0873
2,0.201,0.00046,0.607,0.0986,0.379,0.0476,0.614
3,0.559,0.082,0.00089,0.186,0.437,0.00329,0.98
4,0.617,0.584,0.374,0.0694,0.279,0.0337,0
4,0.887,0.636,0.129,0.0719,0.299,0.0347,0
3,0.494,0.00013,0.776,0.808,0.103,0.117,0.0297
3,0.0882,0.841,0.0812,0,0.861,0.628,0.0687
4,0.815,0.636,0.243,0.111,0.239,0.04,0
1,0.811,0.132,0.0524,0.825,0.789,0.258,0.00028
3,0.372,0,0.623,0.734,0.145,0.107,0.0162
2,0.259,0.029,0.039,0.338,0.107,0.562,0
4,0.779,0.712,0.298,0.115,0.568,0.0407,0
2,0.169,0.00106,0.952,0.118,0.29,0.051,0.379
2,0.415,0,0.911,0.129,0.153,0.0454,0.436
4,0.0371,0.505,0.542,0.228,0.00367,0.504,0.468
2,0.258,0.0375,0.924,0.384,0.118,0.167,0
4,0.726,0.715,0.194,0.36,0.367,0.0329,0
4,0.608,0.58,0.428,0.117,0.147,0.0288,0
