mood,liveness,energy,danceability,valence,speechiness,instrumentalness,acousticness
1,0.286,0.609,0.761,0.498,0.0673,0.529,0.0916
1,0.183,0.626,0.731,0.862,0.0805,0,0.125
1,0.104,0.518,0.815,0.877,0.0897,0,0.223
1,0.131,0.838,0.448,0.254,0.0557,0.000131,0.21
1,0.124,0.435,0.785,0.633,0.147,0.00232,0.223
1,0.0714,0.525,0.878,0.694,0.0578,0,0.183
1,0.11,0.491,0.399,0.151,0.0538,0.00089,0.0563
1,0.136,0.828,0.734,0.717,0.033,0.0225,0.398
1,0.167,0.603,0.913,0.497,0.226,0.000503,0.0272
1,0.112,0.684,0.584,0.72,0.567,9.05E-05,0.312
1,0.167,0.74,0.64,0.785,0.0284,0.00678,0.0115
1,0.0959,0.503,0.792,0.381,0.0626,0.00057,0.0369
1,0.107,0.715,0.72,0.357,0.04,0.0568,0.258
1,0.114,0.565,0.876,0.931,0.0333,0.0284,0.16
1,0.417,0.545,0.545,0.549,0.107,5.48E-05,0.667
1,0.688,0.655,0.436,0.412,0.0583,8.10E-06,0.499
1,0.0805,0.539,0.884,0.776,0.208,0,0.239
1,0.12,0.452,0.811,0.556,0.115,0.00305,0.162
1,0.299,0.624,0.703,0.808,0.0364,5.53E-05,0.0156
1,0.0246,0.776,0.705,0.366,0.0445,2.81E-06,0.0643
1,0.128,0.492,0.828,0.789,0.0276,0.00428,0.0644
1,0.0589,0.701,0.871,0.716,0.0458,7.52E-06,0.257
1,0.175,0.445,0.686,0.626,0.0398,0.00144,0.484
1,0.143,0.616,0.747,0.908,0.0324,0.116,0.176
1,0.0705,0.646,0.876,0.832,0.0435,0.00195,0.422
1,0.126,0.569,0.657,0.399,0.0542,1.38E-05,0.201
1,0.257,0.581,0.503,0.633,0.0881,0.000708,0.21
1,0.103,0.778,0.711,0.827,0.0897,1.77E-06,0.0273
1,0.212,0.893,0.586,0.65,0.439,0.642,0.827
1,0.0919,0.547,0.766,0.35,0.0561,1.13E-05,0.389
1,0.121,0.846,0.566,0.86,0.035,0.000795,0.000564
1,0.1,0.583,0.845,0.842,0.0773,0.000536,0.114
1,0.157,0.524,0.397,0.343,0.103,0,0.607
1,0.329,0.92,0.675,0.842,0.0539,0.117,0.0126
1,0.0672,0.525,0.927,0.778,0.0667,0.238,0.274
1,0.0819,0.78,0.843,0.652,0.212,0.00086,0.0836
1,0.0446,0.762,0.679,0.511,0.0316,0.23,0.00469
1,0.0939,0.604,0.723,0.562,0.0319,0.000463,0.179
1,0.343,0.829,0.369,0.63,0.0789,0.0991,0.0684
1,0.161,0.707,0.717,0.206,0.0628,0.000117,0.384
1,0.167,0.474,0.658,0.553,0.284,0,0.675
1,0.186,0.718,0.801,0.758,0.0421,0.0331,0.0932
1,0.0973,0.649,0.535,0.796,0.205,0.000236,0.71
1,0.249,0.513,0.7,0.637,0.0698,5.23E-05,0.684
1,0.0759,0.732,0.5,0.637,0.0418,0.0554,0.000397
1,0.955,0.874,0.694,0.877,0.0413,0.0963,0.0367
1,0.0734,0.746,0.652,0.894,0.107,0.00044,0.0177
1,0.151,0.473,0.788,0.687,0.0893,0,0.164
1,0.236,0.729,0.771,0.689,0.0372,0.00452,0.313
1,0.138,0.835,0.602,0.496,0.0413,6.43E-05,0.0921
1,0.43,0.682,0.686,0.854,0.0459,0.0131,0.0443
1,0.105,0.492,0.485,0.876,0.331,0,0.425
1,0.0917,0.806,0.579,0.789,0.0323,0.000535,0.214
1,0.0655,0.536,0.569,0.656,0.0819,0,0.554
1,0.567,0.816,0.69,0.905,0.0656,0,0.0169
1,0.333,0.854,0.691,0.834,0.0674,0.00828,0.00183
1,0.0731,0.89,0.635,0.533,0.0769,0,0.00491
1,0.305,0.895,0.67,0.897,0.0352,0.0322,0.0943
1,0.0433,0.735,0.707,0.762,0.0362,4.78E-05,0.00896
1,0.328,0.947,0.629,0.659,0.0592,0.0262,0.0856
1,0.127,0.98,0.428,0.423,0.443,0,0.0734
1,0.0684,0.71,0.735,0.507,0.0766,0.762,0.00851
1,0.199,0.522,0.739,0.214,0.0355,0.00608,0.0174
1,0.0921,0.482,0.717,0.321,0.0465,0.000235,0.564
1,0.372,0.843,0.73,0.658,0.0528,0,0.186
1,0.22,0.61,0.774,0.644,0.293,3.91E-06,0.237
1,0.185,0.666,0.55,0.423,0.0656,0.00763,0.308
1,0.337,0.772,0.718,0.843,0.0529,0,0.298
1,0.0807,0.466,0.667,0.819,0.176,0,0.703
1,0.0797,0.668,0.698,0.719,0.0322,2.86E-05,0.251
1,0.115,0.666,0.689,0.197,0.0391,1.90E-06,0.557
1,0.0971,0.688,0.762,0.895,0.073,0.0027,0.16
1,0.238,0.787,0.692,0.919,0.0305,0,0.0576
1,0.198,0.924,0.671,0.799,0.099,3.66E-06,0.0568
1,0.357,0.521,0.582,0.408,0.0352,0.000107,0.401
1,0.0946,0.556,0.786,0.469,0.04,0,0.186
1,0.0865,0.83,0.6,0.941,0.311,0,0.154
1,0.0622,0.775,0.746,0.594,0.122,0.000548,0.629
1,0.0979,0.636,0.565,0.16,0.0319,0.0331,0.0484
1,0.101,0.662,0.86,0.657,0.0819,1.27E-05,0.0809
1,0.04,0.786,0.603,0.763,0.0576,0,0.174
1,0.0763,0.856,0.739,0.589,0.0746,0,0.0228
1,0.272,0.436,0.711,0.45,0.0313,2.07E-05,0.514
1,0.251,0.72,0.777,0.945,0.0525,0,0.0432
1,0.344,0.788,0.482,0.85,0.0432,0.00374,0.115
1,0.199,0.664,0.715,0.469,0.0366,0.0319,0.00371
1,0.0778,0.53,0.722,0.846,0.118,0.822,0.0846
1,0.108,0.711,0.75,0.567,0.119,0.0053,0.707
1,0.114,0.441,0.823,0.752,0.156,7.68E-05,0.636
1,0.161,0.617,0.732,0.445,0.038,3.09E-06,0.216
1,0.246,0.665,0.711,0.518,0.117,0.00742,0.026
1,0.056,0.808,0.487,0.424,0.143,0.0589,0.00205
1,0.21,0.936,0.567,0.804,0.327,0,0.0403
1,0.113,0.738,0.695,0.512,0.0731,0,0.272
1,0.3,0.824,0.616,0.206,0.128,0.0257,0.00658
1,0.308,0.583,0.751,0.688,0.0387,0.077,0.102
1,0.413,0.404,0.699,0.621,0.0511,3.35E-05,0.895
1,0.308,0.444,0.821,0.672,0.0812,0.0188,0.15
1,0.175,0.416,0.776,0.54,0.381,1.43E-05,0.314
1,0.165,0.618,0.633,0.454,0.273,0,0.0435
1,0.57,0.198,0.0393,0.556,0.304,0.0118,0.000526
1,0.677,0.0902,0.0448,0.634,0.939,0.318,0
1,0.832,0.138,0.0308,0.674,0.981,0.146,5.06E-06
1,0.626,0.153,0.0335,0.836,0.898,0.0943,0.742
1,0.969,0.119,0.0906,0.538,0.928,0.417,0.00154
1,0.828,0.0839,0.0462,0.72,0.768,0.185,0.429
1,0.846,0.0355,0.0467,0.661,0.911,0.129,5.17E-06
1,0.719,0.118,0.032,0.799,0.772,0.308,0.00109
1,0.886,0.295,0.0465,0.603,0.727,0.0418,0.000171
1,0.623,0.0295,0.042,0.685,0.896,0.228,0.00234
1,0.597,0.0986,0.0337,0.675,0.828,0.0534,0
1,0.713,0.0904,0.0339,0.784,0.97,0.447,0.14
1,0.624,0.0465,0.0565,0.862,0.882,0.0192,0.000153
1,0.56,0.0789,0.0895,0.881,0.925,0.269,0.000259
1,0.66,0.0907,0.0538,0.722,0.906,0.05,0.000901
1,0.572,0.163,0.0493,0.743,0.675,0.186,1.44E-05
1,0.652,0.202,0.0427,0.653,0.846,0.13,1.58E-05
1,0.624,0.307,0.0842,0.514,0.755,0.513,0.00517
