mood,valence,instrumentalness,acousticness,liveness,energy,speechiness,danceability
2,0.689,0,0.749,0.264,0.619,0.311,0.609
2,0.12,0,0.934,0.095,0.296,0.0333,0.351
2,0.3,0,0.338,0.139,0.54,0.0528,0.362
2,0.37,0,0.746,0.188,0.292,0.0323,0.5
2,0.244,0,0.365,0.0963,0.545,0.0688,0.479
2,0.389,2.50E-05,0.768,0.103,0.328,0.029,0.629
2,0.131,1.65E-05,0.695,0.0944,0.537,0.04,0.445
2,0.236,0,0.536,0.135,0.385,0.0288,0.522
2,0.27,0,0.584,0.322,0.425,0.0333,0.357
2,0.0823,0,0.785,0.0906,0.373,0.05,0.667
2,0.464,0,0.312,0.179,0.714,0.121,0.662
2,0.707,2.42E-05,0.836,0.544,0.437,0.0963,0.773
2,0.348,0,0.965,0.0889,0.0565,0.0534,0.71
2,0.162,0,0.743,0.0974,0.292,0.0483,0.681
2,0.446,0,0.751,0.105,0.405,0.0319,0.501
2,0.201,0.000464,0.607,0.0986,0.379,0.0476,0.614
2,0.348,0,0.731,0.696,0.431,0.135,0.726
2,0.159,0.153,0.174,0.0843,0.411,0.0484,0.188
2,0.493,0,0.00162,0.354,0.639,0.0435,0.628
2,0.225,0,0.701,0.0726,0.485,0.0365,0.311
2,0.22,0,0.918,0.137,0.235,0.0303,0.329
2,0.356,0,0.22,0.0986,0.329,0.0274,0.574
2,0.102,0.279,0.969,0.639,0.369,0.038,0.544
2,0.476,0,0.64,0.169,0.372,0.0432,0.681
2,0.259,0,0.039,0.107,0.562,0.029,0.338
2,0.257,0,0.914,0.0887,0.242,0.0442,0.589
2,0.162,0,0.443,0.0995,0.53,0.0333,0.688
2,0.343,0,0.855,0.143,0.204,0.0504,0.507
2,0.315,4.04E-05,0.611,0.114,0.5,0.0611,0.63
2,0.267,1.78E-06,0.0153,0.133,0.624,0.113,0.586
2,0.152,0,0.528,0.109,0.341,0.0309,0.331
2,0.124,0.00196,0.164,0.113,0.417,0.0338,0.209
2,0.387,0,0.932,0.088,0.28,0.0434,0.612
2,0.302,0,0.135,0.11,0.695,0.0933,0.376
2,0.246,1.65E-05,0.818,0.107,0.311,0.0288,0.546
2,0.49,0,0.144,0.0835,0.694,0.0242,0.63
2,0.231,3.35E-05,0.837,0.0983,0.174,0.0315,0.681
2,0.18,0,0.687,0.101,0.275,0.3,0.492
2,0.206,2.62E-05,0.913,0.112,0.0848,0.0404,0.561
2,0.0678,1.57E-06,0.643,0.149,0.465,0.0314,0.599
2,0.274,0,0.161,0.108,0.415,0.052,0.55
2,0.493,2.04E-05,0.529,0.0766,0.485,0.0361,0.677
2,0.389,0,0.302,0.105,0.526,0.0645,0.777
2,0.479,0,0.308,0.0939,0.543,0.0489,0.696
2,0.243,0.657,0.902,0.106,0.225,0.0994,0.704
2,0.0779,0,0.0361,0.102,0.604,0.0296,0.657
2,0.265,0,0.303,0.095,0.595,0.0496,0.376
2,0.506,0,0.0526,0.0936,0.715,0.0904,0.715
2,0.693,1.31E-05,0.551,0.102,0.422,0.0678,0.573
2,0.403,7.28E-05,0.538,0.0925,0.623,0.0331,0.532
2,0.341,0,0.869,0.0881,0.449,0.611,0.684
2,0.249,0,0.0724,0.0675,0.526,0.0251,0.512
2,0.222,0,0.0275,0.109,0.595,0.0313,0.516
2,0.364,0,0.873,0.115,0.355,0.0263,0.646
2,0.198,3.97E-05,0.978,0.0897,0.111,0.0972,0.367
2,0.0915,3.49E-06,0.867,0.0945,0.146,0.0343,0.453
2,0.199,0.000732,0.178,0.116,0.665,0.0644,0.389
2,0.308,0,0.434,0.097,0.629,0.0278,0.605
2,0.415,0,0.911,0.129,0.153,0.0454,0.436
2,0.291,0,0.0689,0.196,0.538,0.0382,0.556
2,0.247,0,0.947,0.108,0.0485,0.038,0.41
2,0.104,0,0.874,0.107,0.153,0.0479,0.439
2,0.238,0,0.104,0.0631,0.607,0.0574,0.529
2,0.351,0,0.913,0.117,0.25,0.0367,0.513
