mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
3,0.527,0.835,0.0433,0.0166,0,0.249,0.654
3,0.742,0.713,0.0303,0.0205,0,0.059,0.879
3,0.866,0.813,0.0554,0.38,0,0.0779,0.969
3,0.591,0.764,0.0483,0.0383,0,0.103,0.478
3,0.737,0.846,0.22,0.00614,0,0.0486,0.546
3,0.742,0.882,0.117,0.0466,0,0.206,0.463
3,0.545,0.675,0.0279,0.00617,0.00197,0.209,0.162
3,0.461,0.834,0.0989,0.0232,1.14E-05,0.14,0.471
3,0.751,0.783,0.0859,0.00379,0,0.036,0.816
3,0.596,0.854,0.463,0.0169,0,0.124,0.152
3,0.279,0.742,0.0898,0.000185,0,0.593,0.328
3,0.468,0.779,0.0779,0.112,0.000373,0.101,0.26
3,0.746,0.754,0.0676,0.0152,0,0.0486,0.746
3,0.624,0.876,0.1,0.0735,0,0.327,0.781
3,0.672,0.655,0.0311,0.0362,0,0.117,0.556
3,0.52,0.731,0.0557,0.342,0.00101,0.311,0.662
3,0.641,0.922,0.0786,0.0291,0,0.0862,0.847
3,0.532,0.783,0.0523,0.0038,0.0012,0.161,0.643
3,0.621,0.82,0.0367,0.332,0,0.104,0.452
3,0.628,0.593,0.0323,0.093,1.65E-06,0.096,0.104
3,0.722,0.851,0.0639,0.0319,0,0.108,0.452
3,0.504,0.785,0.104,0.0738,0,0.239,0.502
3,0.73,0.777,0.0496,0.105,0.000478,0.0691,0.575
3,0.722,0.761,0.0475,0.0117,0,0.315,0.624
3,0.687,0.785,0.0333,0.327,0,0.203,0.655
3,0.783,0.58,0.0408,0.0114,2.28E-06,0.108,0.66
3,0.638,0.832,0.049,0.141,0,0.113,0.648
3,0.495,0.894,0.0441,0.00453,0.000596,0.103,0.213
3,0.56,0.872,0.14,0.0239,6.98E-06,0.371,0.682
3,0.602,0.843,0.0593,0.000688,5.27E-05,0.0682,0.526
3,0.726,0.698,0.0431,0.049,0,0.309,0.867
3,0.691,0.795,0.0355,0.000812,1.02E-06,0.156,0.876
3,0.494,0.951,0.132,0.000569,0,0.327,0.441
3,0.743,0.766,0.0265,0.0873,0,0.509,0.61
3,0.711,0.7,0.046,0.00498,0.000125,0.215,0.801
3,0.72,0.763,0.0523,0.406,0,0.18,0.742
3,0.682,0.72,0.0381,0.326,0,0.148,0.673
3,0.765,0.837,0.032,0.00107,1.06E-05,0.0801,0.721
3,0.646,0.741,0.034,0.0275,0,0.312,0.571
3,0.788,0.753,0.0536,0.0038,0,0.18,0.403
3,0.791,0.862,0.11,0.037,2.19E-05,0.0814,0.592
3,0.807,0.893,0.0347,0.0451,2.79E-05,0.366,0.537
3,0.545,0.78,0.0436,0.0309,4.64E-05,0.0828,0.458
3,0.561,0.965,0.0343,0.00383,7.07E-06,0.371,0.304
3,0.637,0.69,0.0405,0.00786,0,0.124,0.457
3,0.735,0.766,0.0383,0.025,0.00138,0.108,0.6
3,0.647,0.8,0.165,0.0647,0,0.334,0.942
3,0.706,0.841,0.0418,7.95E-05,0,0.0688,0.861
3,0.673,0.758,0.158,0.039,0,0.341,0.542
3,0.663,0.861,0.109,0.0338,0,0.082,0.654
3,0.691,0.823,0.0623,0.487,0,0.134,0.87
3,0.514,0.73,0.0598,0.00146,9.54E-05,0.0897,0.334
3,0.755,0.837,0.142,0.0991,0,0.289,0.714
3,0.774,0.753,0.0517,0.152,0,0.0371,0.896
3,0.811,0.719,0.0497,0.0129,1.36E-05,0.0742,0.865
3,0.763,0.72,0.0691,0.00261,1.11E-05,0.114,0.592
3,0.678,0.918,0.0355,0.000417,0,0.0744,0.769
3,0.631,0.927,0.0332,0.199,0.119,0.148,0.465
3,0.687,0.761,0.0876,0.102,0,0.147,0.743
3,0.555,0.772,0.0523,0.315,0,0.105,0.346
3,0.721,0.802,0.0583,0.0921,0,0.694,0.724
3,0.737,0.636,0.0437,0.0441,6.66E-05,0.35,0.565
3,0.632,0.773,0.0346,0.0623,0,0.0885,0.474
3,0.731,0.853,0.0363,0.0352,0,0.268,0.605
3,0.583,0.732,0.0457,0.00312,9.86E-06,0.269,0.276
3,0.73,0.861,0.0451,0.39,0,0.213,0.704
3,0.608,0.86,0.0554,0.0991,0,0.262,0.437
3,0.759,0.459,0.0948,0.00323,0,0.0788,0.695
3,0.719,0.847,0.0916,0.00201,0.0204,0.223,0.444
3,0.612,0.862,0.037,0.041,0,0.0907,0.354
3,0.703,0.81,0.0424,0.000315,0,0.216,0.726
3,0.705,0.78,0.0805,0.456,0.00152,0.115,0.457
3,0.663,0.857,0.0544,0.0542,0,0.144,0.931
3,0.818,0.913,0.0426,0.093,3.69E-05,0.161,0.536
3,0.616,0.869,0.0327,0.0283,0,0.064,0.473
3,0.776,0.808,0.117,0.0297,0.000127,0.103,0.494
3,0.696,0.793,0.097,0.0683,3.78E-06,0.18,0.698
3,0.696,0.921,0.0363,0.00314,5.24E-05,0.0842,0.714
3,0.789,0.706,0.0429,0.112,1.71E-05,0.0586,0.638
3,0.773,0.747,0.0885,0.0242,8.99E-06,0.109,0.801
3,0.715,0.791,0.0414,0.0368,0,0.0694,0.879
3,0.654,0.655,0.106,0.0294,0,0.139,0.221
3,0.774,0.838,0.114,0.0249,0.025,0.242,0.924
3,0.703,0.747,0.0895,0.283,0,0.396,0.7
3,0.707,0.813,0.0571,0.0863,0,0.168,0.722
3,0.671,0.916,0.0397,0.0282,0.00762,0.24,0.803
3,0.768,0.864,0.0324,0.101,0,0.162,0.891
3,0.623,0.734,0.107,0.0162,1.90E-06,0.145,0.372
3,0.706,0.89,0.0688,0.0588,0.00286,0.306,0.684
3,0.534,0.87,0.0425,0.000334,0,0.241,0.462
3,0.835,0.669,0.0643,0.0336,6.92E-05,0.0535,0.542
3,0.645,0.862,0.0845,0.0933,0,0.193,0.803
3,0.711,0.906,0.0284,0.00952,1.64E-05,0.153,0.824
3,0.52,0.849,0.186,0.00253,0,0.119,0.774
3,0.818,0.803,0.0797,0.034,0,0.153,0.632
3,0.754,0.763,0.0435,0.0301,2.23E-05,0.0901,0.464
3,0.7,0.709,0.0838,0.0048,0,0.029,0.624
3,0.541,0.787,0.0331,0.0167,0,0.157,0.2
3,0.806,0.513,0.0685,0.217,0,0.217,0.503
3,0.794,0.793,0.0842,0.0125,0,0.0952,0.677
3,0.75,0.608,0.0387,0.00165,0,0.178,0.958
3,0.541,0.907,0.0642,0.0158,0.000185,0.34,0.434
3,0.671,0.599,0.0405,0.0658,0,0.101,0.448
3,0.463,0.857,0.0632,0.0506,0,0.184,0.856
3,0.502,0.912,0.0564,2.55E-05,0.000173,0.106,0.72
3,0.493,0.808,0.0362,0.000235,0,0.0983,0.38
3,0.603,0.886,0.0837,0.00045,0,0.26,0.395
3,0.542,0.905,0.054,0.00172,0.0104,0.136,0.374
3,0.589,0.89,0.0603,0.000481,0.00082,0.201,0.692
3,0.426,0.888,0.0987,0.000455,0,0.306,0.387
3,0.268,0.98,0.103,0.0192,0.00709,0.182,0.395
3,0.277,0.663,0.0377,0.000409,0.00051,0.136,0.527
3,0.529,0.967,0.0508,0.114,0,0.61,0.596
3,0.568,0.844,0.0505,0.000189,0,0.0607,0.766
3,0.467,0.988,0.112,0.000152,0.0484,0.28,0.321
3,0.667,0.908,0.0514,0.0376,0,0.145,0.656
3,0.622,0.961,0.154,0.00523,0,0.0854,0.449
3,0.602,0.905,0.0775,0.000202,0.064,0.117,0.411
3,0.674,0.789,0.0676,0.00178,0.00708,0.0753,0.918
3,0.644,0.939,0.0456,0.157,0,0.233,0.861
3,0.465,0.919,0.0408,1.83E-05,2.07E-05,0.262,0.537
3,0.417,0.934,0.119,0.000278,0.0015,0.132,0.287
3,0.523,0.943,0.0337,0.00704,3.81E-05,0.0579,0.766
3,0.611,0.95,0.0518,0.00141,1.59E-06,0.0543,0.607
3,0.256,0.641,0.0552,0.199,0.0329,0.0853,0.382
3,0.653,0.964,0.0582,0.00316,0.00512,0.144,0.87
3,0.492,0.969,0.0491,0.0014,1.32E-06,0.0787,0.538
3,0.511,0.934,0.242,0.00403,3.48E-05,0.242,0.668
3,0.723,0.895,0.102,0.088,0,0.0717,0.963
3,0.556,0.92,0.0367,0.00271,0.00021,0.117,0.771
3,0.435,0.887,0.0636,0.000747,0,0.0327,0.408
3,0.678,0.656,0.0381,0.00174,0,0.0631,0.485
