mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
1,0.67,0.743,0.0393,0.237,0,0.465,0.571
1,0.737,0.846,0.22,0.00614,0,0.0486,0.546
1,0.673,0.902,0.0346,0.0591,0.000262,0.0558,0.538
1,0.699,0.529,0.0487,0.0317,3.59E-05,0.285,0.121
1,0.788,0.859,0.0856,0.281,0,0.0424,0.822
1,0.333,0.637,0.0581,0.131,1.80E-05,0.149,0.132
1,0.745,0.681,0.0361,0.0696,0,0.164,0.613
1,0.548,0.816,0.0465,0.122,0,0.335,0.557
1,0.682,0.72,0.0381,0.326,0,0.148,0.673
1,0.588,0.701,0.0402,0.00813,0,0.2,0.443
1,0.356,0.684,0.0878,0.152,0,0.101,0.347
1,0.685,0.738,0.0595,0.0695,0,0.128,0.8
1,0.561,0.965,0.0343,0.00383,7.07E-06,0.371,0.304
1,0.838,0.525,0.0665,0.345,1.92E-06,0.0771,0.884
1,0.842,0.734,0.0588,0.0427,0,0.106,0.952
1,0.637,0.69,0.0405,0.00786,0,0.124,0.457
1,0.64,0.648,0.187,0.124,0,0.0802,0.548
1,0.514,0.73,0.0598,0.00146,9.54E-05,0.0897,0.334
1,0.593,0.503,0.22,0.293,0,0.405,0.71
1,0.731,0.626,0.0805,0.125,0,0.183,0.862
1,0.898,0.732,0.0427,0.621,1.29E-05,0.0908,0.96
1,0.759,0.605,0.0433,0.156,0,0.694,0.64
1,0.746,0.765,0.0993,0.0112,0,0.0936,0.737
1,0.756,0.697,0.0401,0.182,0,0.333,0.956
1,0.789,0.711,0.041,0.0332,0,0.0876,0.753
1,0.759,0.54,0.0287,0.037,0,0.0945,0.75
1,0.737,0.747,0.0323,0.269,0,0.219,0.447
1,0.686,0.538,0.0345,0.181,3.13E-06,0.113,0.584
1,0.912,0.774,0.0455,0.121,0.0127,0.101,0.632
1,0.763,0.661,0.056,0.169,0,0.117,0.632
1,0.717,0.671,0.0337,0.0018,2.54E-06,0.0921,0.699
1,0.798,0.675,0.0442,0.0912,0,0.0894,0.842
1,0.759,0.459,0.0948,0.00323,0,0.0788,0.695
1,0.612,0.862,0.037,0.041,0,0.0907,0.354
1,0.677,0.696,0.119,0.321,0,0.42,0.464
1,0.856,0.609,0.0824,0.00801,8.15E-05,0.0344,0.928
1,0.815,0.518,0.0897,0.223,0,0.104,0.877
1,0.776,0.808,0.117,0.0297,0.000127,0.103,0.494
1,0.717,0.455,0.0276,0.0846,0,0.11,0.389
1,0.774,0.792,0.0523,0.051,0,0.155,0.507
1,0.691,0.829,0.0412,0.0289,0,0.254,0.866
1,0.723,0.772,0.0792,0.00524,1.15E-05,0.367,0.58
1,0.836,0.743,0.0656,0.0995,0,0.335,0.722
1,0.476,0.594,0.135,0.0599,0,0.0785,0.314
1,0.628,0.877,0.046,0.0155,5.97E-06,0.113,0.721
1,0.585,0.696,0.0307,0.204,0,0.344,0.522
1,0.795,0.48,0.0688,0.243,0,0.271,0.723
1,0.769,0.479,0.0385,0.66,0,0.0914,0.803
1,0.792,0.895,0.0587,0.165,0,0.0501,0.793
1,0.494,0.553,0.197,0.413,4.17E-05,0.218,0.359
1,0.61,0.83,0.0571,0.033,0,0.118,0.728
1,0.762,0.701,0.0286,0.235,0.000158,0.123,0.742
1,0.399,0.491,0.0538,0.0563,0.00089,0.11,0.151
1,0.669,0.832,0.0682,0.0106,0,0.0968,0.7
1,0.575,0.571,0.0439,0.0558,0,0.0912,0.449
1,0.659,0.618,0.0642,0.261,0,0.184,0.196
1,0.673,0.704,0.36,0.196,0,0.0898,0.372
1,0.806,0.513,0.0685,0.217,0,0.217,0.503
1,0.794,0.793,0.0842,0.0125,0,0.0952,0.677
1,0.647,0.822,0.183,0.219,0,0.0908,0.962
1,0.72,0.715,0.04,0.258,0.0568,0.107,0.357
1,0.57,0.756,0.0257,0.0497,0,0.33,0.72
1,0.568,0.824,0.0299,0.403,0,0.0855,0.753
1,0.814,0.628,0.221,0.167,0,0.101,0.677
1,0.795,0.616,0.06,0.417,0,0.349,0.815
1,0.601,0.713,0.0449,0.0282,0,0.158,0.464
1,0.614,0.934,0.07,0.0697,0,0.121,0.436
1,0.763,0.782,0.0346,0.182,7.08E-06,0.293,0.502
1,0.621,0.747,0.0337,0.222,0.000194,0.147,0.426
1,0.734,0.874,0.0662,0.168,1.14E-05,0.0489,0.905
1,0.595,0.784,0.102,0.216,0,0.0608,0.479
1,0.725,0.828,0.0332,0.0247,0,0.0716,0.916
1,0.722,0.893,0.0475,0.0441,0.000937,0.0673,0.439
1,0.721,0.769,0.105,0.0922,0,0.0817,0.915
1,0.674,0.881,0.147,0.296,3.01E-06,0.0793,0.234
1,0.681,0.657,0.0432,0.0748,0,0.353,0.628
1,0.48,0.895,0.0426,0.00183,0,0.111,0.356
1,0.614,0.615,0.0444,0.054,0,0.0921,0.374
1,0.563,0.908,0.0868,0.0696,0,0.328,0.171
1,0.771,0.671,0.0553,0.00929,0,0.0637,0.714
1,0.954,0.516,0.16,0.03,7.54E-06,0.0504,0.624
1,0.824,0.862,0.126,0.0076,0.000132,0.303,0.801
1,0.88,0.504,0.0609,0.0532,0.0715,0.443,0.476
1,0.507,0.828,0.0449,0.00711,2.44E-05,0.261,0.489
1,0.779,0.705,0.0344,0.369,7.91E-06,0.124,0.946
1,0.824,0.587,0.0937,0.69,0.000105,0.149,0.514
1,0.662,0.807,0.0411,0.293,3.55E-06,0.189,0.772
1,0.787,0.833,0.0478,0.018,0.00747,0.0374,0.796
1,0.652,0.897,0.036,0.293,0,0.0722,0.475
1,0.602,0.91,0.0308,0.00126,0.000174,0.12,0.228
1,0.758,0.913,0.113,0.00364,6.92E-05,0.193,0.658
1,0.676,0.525,0.028,0.617,0,0.356,0.421
1,0.667,0.75,0.0906,0.0746,0.000198,0.197,0.486
1,0.779,0.342,0.0405,0.701,2.75E-06,0.132,0.482
1,0.852,0.698,0.0629,0.00839,1.03E-06,0.0773,0.324
1,0.676,0.786,0.0478,0.197,0,0.0943,0.483
1,0.693,0.678,0.0324,0.0151,5.71E-06,0.101,0.404
1,0.77,0.882,0.0602,0.194,0,0.316,0.385
1,0.862,0.753,0.0625,0.131,2.01E-06,0.077,0.827
1,0.7,0.872,0.0666,0.121,7.08E-06,0.103,0.761
1,0.673,0.886,0.0431,0.185,0,0.0826,0.795
1,0.673,0.902,0.0346,0.0591,0.000262,0.0558,0.538
1,0.578,0.866,0.0619,0.00701,0,0.257,0.619
1,0.703,0.444,0.0417,0.559,0,0.0973,0.712
1,0.632,0.856,0.0348,0.0624,0,0.347,0.867
1,0.504,0.904,0.179,0.356,0.121,0.14,0.772
1,0.629,0.545,0.0546,0.719,0.00308,0.0604,0.194
1,0.352,0.911,0.0747,0.00121,0,0.0995,0.236
1,0.56,0.936,0.0439,0.00847,0,0.161,0.371
1,0.559,0.868,0.17,0.0475,0.000176,0.776,0.609
1,0.731,0.804,0.0473,0.172,0.00028,0.0685,0.957
1,0.501,0.809,0.0938,0.0338,0.00602,0.119,0.258
1,0.541,0.591,0.0336,0.289,0.000431,0.124,0.116
1,0.645,0.795,0.0527,0.347,0.00389,0.104,0.535
1,0.568,0.824,0.0299,0.403,0,0.0855,0.753
1,0.62,0.573,0.0423,0.271,0,0.0607,0.897
1,0.529,0.127,0.0274,0.611,0.000109,0.237,0.578
1,0.388,0.338,0.0329,0.652,3.73E-06,0.248,0.478
1,0.481,0.638,0.0276,0.153,0,0.154,0.497
1,0.573,0.902,0.054,0.018,0.00125,0.0928,0.876
1,0.508,0.834,0.0386,0.0183,0,0.0732,0.774
1,0.543,0.87,0.0428,0.358,0.000939,0.792,0.754
1,0.727,0.974,0.0664,0.103,0.000532,0.174,0.965
1,0.674,0.832,0.0308,0.146,5.06E-06,0.138,0.981
1,0.547,0.82,0.0805,0.261,0,0.3,0.933
1,0.701,0.944,0.0455,0.0755,0,0.601,0.792
1,0.671,0.373,0.0323,0.257,8.01E-05,0.0481,0.732
1,0.491,0.802,0.0392,0.25,0,0.387,0.472
1,0.38,0.43,0.0288,0.546,1.71E-05,0.188,0.547
1,0.557,0.54,0.0347,0.0339,0.00248,0.179,0.394
1,0.531,0.481,0.06,0.699,0,0.0842,0.491
1,0.663,0.6,0.032,0.43,0,0.184,0.8
1,0.334,0.477,0.0276,0.618,4.17E-06,0.312,0.405
1,0.601,0.532,0.0286,0.432,6.25E-06,0.0925,0.341
1,0.67,0.584,0.034,0.439,0.00614,0.178,0.944
1,0.5,0.681,0.0672,0.114,4.01E-05,0.139,0.745
1,0.739,0.511,0.0362,0.167,1.34E-06,0.133,0.542
1,0.851,0.551,0.0396,0.151,0,0.0827,0.807
1,0.792,0.647,0.045,0.255,0.000223,0.132,0.694
1,0.836,0.509,0.0548,0.467,4.10E-06,0.0436,0.949
