mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
2,0.508,0.43,0.0335,0.83,0.000441,0.093,0.324
2,0.445,0.232,0.0294,0.886,3.31E-06,0.128,0.246
2,0.676,0.461,0.0304,0.555,0,0.0951,0.466
2,0.554,0.326,0.0299,0.697,0,0.0876,0.278
2,0.637,0.513,0.0367,0.518,0,0.124,0.234
2,0.4,0.479,0.0308,0.0529,2.14E-06,0.115,0.213
2,0.62,0.379,0.0412,0.797,0,0.195,0.509
2,0.4,0.641,0.0674,0.214,0,0.0656,0.393
2,0.582,0.231,0.0358,0.933,4.16E-06,0.132,0.191
2,0.55,0.548,0.032,0.648,1.92E-06,0.249,0.428
2,0.362,0.54,0.0528,0.338,0,0.139,0.3
2,0.573,0.17,0.0555,0.834,3.08E-06,0.108,0.28
2,0.453,0.383,0.163,0.728,0,0.387,0.333
2,0.595,0.667,0.0394,0.227,0,0.103,0.401
2,0.547,0.222,0.0458,0.962,9.31E-05,0.101,0.528
2,0.357,0.425,0.0333,0.584,0,0.322,0.27
2,0.548,0.474,0.0446,0.587,0,0.121,0.261
2,0.322,0.231,0.0347,0.932,0.00076,0.149,0.228
2,0.379,0.29,0.051,0.952,0.00106,0.118,0.169
2,0.395,0.331,0.0524,0.911,2.57E-06,0.166,0.261
2,0.661,0.517,0.0406,0.223,0,0.116,0.241
2,0.512,0.204,0.036,0.942,0,0.106,0.296
2,0.609,0.692,0.0259,0.0157,0,0.0864,0.454
2,0.445,0.537,0.04,0.695,1.65E-05,0.0944,0.131
2,0.563,0.382,0.0404,0.748,0,0.0714,0.197
2,0.663,0.251,0.0435,0.88,0,0.0932,0.528
2,0.467,0.359,0.0815,0.843,0,0.0913,0.21
2,0.445,0.455,0.0575,0.731,1.47E-06,0.124,0.151
2,0.44,0.04,0.0322,0.981,0.465,0.111,0.249
2,0.508,0.417,0.0296,0.77,0.0928,0.0887,0.483
2,0.571,0.0274,0.0649,0.948,6.43E-06,0.322,0.087
2,0.436,0.255,0.0364,0.955,3.28E-05,0.106,0.15
2,0.408,0.338,0.0431,0.521,0.000639,0.0732,0.1
2,0.5,0.373,0.0335,0.602,0,0.137,0.158
2,0.364,0.294,0.0504,0.833,0,0.264,0.125
2,0.629,0.312,0.0318,0.813,0,0.169,0.456
2,0.562,0.403,0.0361,0.78,0,0.094,0.548
2,0.546,0.442,0.0286,0.24,0,0.122,0.323
2,0.604,0.366,0.0282,0.578,0,0.133,0.13
2,0.543,0.23,0.0417,0.845,0,0.11,0.307
2,0.68,0.406,0.0414,0.782,0.00019,0.11,0.551
2,0.509,0.619,0.0391,0.355,0,0.0739,0.544
2,0.467,0.573,0.23,0.203,1.09E-06,0.102,0.56
2,0.45,0.33,0.0295,0.901,0.0042,0.108,0.174
2,0.816,0.213,0.0529,0.912,4.02E-06,0.0916,0.323
2,0.515,0.387,0.192,0.757,0,0.622,0.408
2,0.587,0.453,0.129,0.356,0.00205,0.0812,0.352
2,0.532,0.623,0.0331,0.538,7.28E-05,0.0925,0.403
2,0.416,0.436,0.035,0.554,0,0.075,0.179
2,0.482,0.43,0.0481,0.763,2.79E-06,0.344,0.113
2,0.471,0.396,0.0336,0.77,0,0.0729,0.263
2,0.371,0.268,0.0281,0.748,0.0517,0.104,0.165
2,0.537,0.17,0.0673,0.869,0,0.0976,0.185
2,0.338,0.562,0.029,0.039,0,0.107,0.259
2,0.497,0.278,0.0464,0.792,0,0.308,0.237
